14,13,14,15,9,9,10,10,11,11,10,10,0,-1,-1,-8,-10,-10,-12,-18
11,11,12,13,7,8,8,8,9,9,10,9,0,-2,-3,-8,-12,-11,-13,-20
12,13,14,13,8,8,9,9,10,10,10,10,0,-2,-2,-8,-12,-12,-14,-18
12,13,14,13,8,8,9,9,9,9,9,9,0,-2,-2,-9,-12,-12,-14,-19
13,10,12,15,7,7,7,8,9,9,9,9,0,-3,-3,-8,-13,-12,-15,-20
12,10,11,14,9,9,8,8,9,9,10,11,0,-2,-2,-6,-9,-9,-13,-21
14,12,12,14,10,10,10,10,10,10,10,10,0,-2,-2,-6,-10,-9,-12,-19
11,10,10,10,7,7,8,7,7,7,7,7,0,-3,-3,-9,-12,-12,-16,-21
10,12,12,12,6,7,9,8,8,9,8,8,0,-2,-2,-8,-12,-11,-13,-20
12,13,13,12,8,9,10,9,9,10,9,9,0,-2,-2,-6,-6,-6,-12,-18
13,12,11,14,8,9,9,9,8,9,10,9,0,-2,-2,-8,-12,-12,-14,-20
8,10,11,8,5,6,6,6,7,7,6,6,0,-3,-3,-8,-12,-12,-14,-21
12,11,12,13,9,9,9,9,9,10,9,10,0,-2,-2,-8,-9,-9,-14,-20
13,12,12,14,9,9,9,9,9,10,10,11,0,-3,-3,-8,-12,-12,-15,-19
14,11,11,12,8,8,8,8,8,8,8,8,0,-2,-2,-8,-11,-11,-13,-20
11,11,11,13,8,8,7,7,9,8,9,9,0,-3,-3,-8,-11,-11,-13,-20
12,10,11,10,7,8,8,7,8,8,7,7,0,-2,-2,-7,-10,-10,-12,-21
12,11,11,12,8,8,8,8,8,7,7,7,0,-2,-2,-7,-11,-11,-12,-20
12,11,11,11,8,8,8,8,8,7,8,8,0,-2,-3,-8,-10,-9,-12,-20
11,12,13,11,8,8,8,8,8,8,8,8,0,-3,-3,-8,-12,-12,-13,-19
12,12,13,13,9,9,10,10,10,10,10,10,0,-3,-3,-7,-7,-6,-14,-18
11,12,12,13,8,8,9,9,9,9,10,10,0,-3,-2,-7,-6,-7,-13,-19
13,14,14,14,10,10,11,10,11,12,12,11,0,-1,-1,-5,-4,-5,-11,-17
13,14,14,14,9,10,10,10,10,10,10,11,0,-1,-1,-5,-5,-4,-11,-19
11,10,10,10,7,7,7,8,7,8,8,7,0,-2,-3,-8,-7,-7,-14,-20
11,12,12,13,8,9,9,9,9,10,10,10,0,-2,-2,-6,-5,-6,-10,-19
14,14,13,14,11,11,11,10,10,10,10,11,0,-1,-1,-4,-4,-5,-9,-17
12,13,13,12,9,9,10,9,9,10,9,9,0,-1,-1,-6,-6,-6,-13,-18
14,13,12,12,9,10,11,10,10,9,10,9,0,-2,-2,-7,-7,-7,-14,-20
12,12,12,11,9,9,10,9,8,8,8,8,0,-2,-2,-7,-6,-7,-13,-19
10,11,11,10,6,7,7,7,7,7,7,7,0,-2,-2,-10,-8,-10,-17,-21
14,14,14,14,10,10,10,10,9,9,10,10,0,-2,-1,-6,-6,-5,-15,-19
12,12,12,13,9,9,9,8,9,9,10,9,0,-2,-2,-8,-7,-7,-13,-19
12,11,11,11,8,8,8,8,8,8,7,6,0,-2,-2,-7,-6,-8,-13,-20
15,14,15,16,11,11,11,11,11,11,11,12,0,-2,-1,-4,-5,-4,-11,-17
13,13,13,15,10,10,10,10,11,11,11,12,0,-2,-2,-6,-5,-5,-10,-17
13,13,12,12,9,10,9,9,9,8,8,8,0,-2,-2,-7,-6,-6,-14,-19
13,13,13,12,9,9,9,9,8,8,8,7,0,-3,-3,-7,-7,-7,-12,-19
9,10,12,12,6,6,6,7,9,10,10,9,0,-3,-2,-8,-7,-6,-13,-20
9,10,11,12,6,6,7,7,7,8,8,8,0,-3,-2,-7,-6,-7,-12,-19
